Name,Speed,Stamina,Strength,Aggression,Creativity,Luck,Focus,Influence,Refelxes,Phobia,Vice,Role,Personality,Class,Affinity
Rock Armadillo,5,2,8,7,6,3,3,5,6,Spatulas,Diabetes,Superfan,Sage,Barstool,Mind
Christopher Spike,5,2,7,6,8,6,9,9,3,Curry,Tequila,Player,Appreciative,Consistency,Mind
Edward White,6,2,7,10,9,3,3,1,2,Heights,Craft Beer,Staff,Appreciative,Groundskeeper,Soul
Zane Tasse,1,8,9,5,6,6,4,6,7,Highways,Holiday Smells,Player,Wise,Investigator,Soul
Toothy Piledriver,2,10,7,6,8,9,6,8,8,The Internet,Birth,Staff,Innovative,Player liaison officer,Soul
Aisha McCulloch,7,9,4,7,7,6,5,7,8,Anime,Presidents,Superfan,Focused,Barstool,Soul
Van Clamberwobble Junior,1,4,4,2,10,9,6,6,6,Flares,Acid,Superfan,Modest,Gambler,Mind
Bishop Caparasso,8,9,8,6,9,9,5,8,4,Champagne,Poker,Player,Idealistic,Consistency,Soul
Nicole Bajwa,2,7,8,10,3,10,2,4,4,Rain,Tequila,Staff,Stoic,Social media intern,Soul
Andrew Tuna,5,6,4,8,7,8,9,8,8,Theme Parks,Dust,Superfan,Appreciative,Hardcore,Mind
Shirley Barrere,8,6,7,7,9,9,4,8,9,Rugs,Cognac,Staff,Stoic,Marketing manager,Soul
Faith Potato,6,6,3,10,4,2,7,4,2,Groundhogs,Hope,Superfan,Placid,Optimist,Soul
Gatlin Porcelain,7,10,4,2,5,9,4,3,2,Calories,Gravel,Player,Modest,General,Body
Mavis Channing,8,9,2,4,7,3,1,6,1,Hypnosis,Snogging,Staff,Focused,Yoga instructor,Body
Sandra Lewis,6,9,8,3,3,5,3,5,8,Dinosaurs,Porn,Staff,Appreciative,Clickbaiter,Body
Nil Fēngē,5,8,3,7,10,5,6,10,8,Snow,Tipping,Player,Romantic,Hype,Mind
Kathleen Mitchell,9,6,6,10,8,7,5,3,4,Blue,The Moon,Superfan,Humorous,Die-hard,Soul
Jemimah Watson,1,4,3,4,5,2,8,6,4,Highways,Choking,Superfan,Idealistic,Die-hard,None
Catherine Banana,2,4,4,9,9,8,9,10,6,Nail Salons,Gray,Superfan,Humorous,There for the booze,Mind
Mordor Parker,6,7,3,6,7,5,9,3,8,Bricks,Horseracing,Player,Innovative,Hype,Mind
Bastardly Hinode,4,7,9,5,7,2,2,6,7,Dinosaurs,Poker,Superfan,Passionate,Fair-weather,Body
Body Shrimpgun,9,7,2,2,4,10,5,4,6,Barbers,Mattresses,Staff,Stoic,Intern,Soul
Vince Thomas,2,7,6,9,10,1,6,8,5,Blue,Cheeseburgers,Superfan,Passionate,Die-hard,Soul
Tiny Plug,4,3,7,9,9,7,2,7,4,Meteor Showers,Haircuts,Player,Romantic,Hype,Soul
Lestat Aye-aye,5,8,4,9,6,9,5,5,2,Soap,New Socks,Player,Romantic,Investigator,Soul
Body Slayer,9,3,1,7,8,7,6,5,5,Screeching,Massages,Superfan,Passionate,Scarf Guy,Soul
Client McKenzie,8,4,9,2,3,3,1,10,3,News,The Mafia,Player,Humorous,General,Body
Avi Tissue,10,7,9,1,6,7,7,8,3,Barbers,Folk Dance,Player,Wise,Consistency,Body
Bigbite Torres,4,1,2,4,5,3,4,1,7,Salt,Solid furniture,Player,Compassionate,Hype,Soul
Tetsu Ramos,7,6,5,8,5,1,9,3,4,Truck Drivers,Clocks,Player,Romantic,Investigator,Body
Acting Gutierrez,6,4,8,1,6,3,5,5,2,Lids,Ants,Superfan,Confident,Fair-weather,Body
Mercutio Ginsberg,9,5,8,8,6,5,5,8,2,Fights,Scotland,Management,Wise,Assistant Coach,Soul
Astounded Market,8,3,9,9,10,8,4,3,6,Sunflower Seeds,Cognac,Player,Idealistic,Closer,Soul
Any Lootman,10,3,8,5,2,8,7,5,7,Blue,Public Speaking,Player,Wise,Investigator,Body
Freja Absolute Zero,9,7,7,2,3,1,3,5,8,Heights,Parachutes,Superfan,Confident,Pessimist,Body
Gatlin Lee,9,2,2,7,8,10,3,2,1,Socks,Pancakes,Superfan,Confident,Hardcore,Soul
Mountainous McGregor,10,2,9,8,9,9,5,5,3,Modems,The Mafia,Superfan,Innovative,Pessimist,Soul
Foster Drawbridge,8,10,9,5,5,9,8,7,7,EDM,Oreos,Staff,Placid,Masseuse,None
Double Lafitte,5,4,8,6,9,4,2,7,5,Flares,Hit and Runs,Superfan,Romantic,Hardcore,Soul
Genius Najafzadeh,10,9,8,3,4,3,8,2,3,Burps,Running water,Player,Placid,Hype,Body
Bashful Alvarez,4,2,7,8,4,9,6,5,8,Hot chocolate,The Void,Superfan,Modest,Pessimist,Mind
Bigbite Kobayashi,4,9,9,2,9,3,5,6,1,Heights,Chips,Superfan,Wise,Die-hard,Soul
Jeffrey Jones,7,9,4,5,2,5,9,5,10,Wood,Dyslexia,Superfan,Innovative,Gambler,Mind
Easton Fonua,8,4,4,5,7,5,6,9,3,Irony,Zoos,Player,Humorous,Hype,Body
Marmalade ABC,5,5,2,4,7,1,8,8,6,Electrocution,Fungible Tokens,Superfan,Modest,Barstool,Mind
Patrick Tasse,8,7,10,4,3,6,9,10,1,Caviar,Kittens,Superfan,Modest,Fair-weather,Body
Sadio Thompson,2,6,6,4,1,4,7,9,7,Highways,Iron Gates,Player,Stoic,Consistency,Mind
Kai Panda,5,9,4,3,4,7,6,2,4,Mouse Traps,Buttered Toast,Player,Appreciative,General,Body
Conundrum Baby,4,2,8,2,7,4,9,2,5,Jeans,Hawaiian Pizza,Player,Stoic,Support,None
Mary Mercutio,3,9,8,9,8,10,2,5,3,Homeopathy,Buses,Staff,Appreciative,Ball handler,Soul
Hammer Ovenmits,1,6,9,8,9,5,3,4,7,T-shirts,Thesaurus,Staff,Idealistic,Kit Manager,Soul
One Mangiarotti,10,10,3,2,5,2,4,2,9,Mirrors,Breakfast,Player,Appreciative,General,Body
Darth Ribeye,9,10,8,9,8,6,6,10,8,Glass,TSA Agents,Superfan,Romantic,Corporate guest,Body
Brantley Hideous,4,6,2,8,7,4,6,8,3,Children,Mattresses,Player,Idealistic,General,Mind
Dorothy Wood,9,7,8,8,3,3,7,9,2,Guitar Strings,Clapping,Superfan,Wise,Fair-weather,Body
Donna Lopez,3,6,4,8,4,6,6,2,6,Theme Parks,Amsterdam,Player,Compassionate,Hype,Mind
Drummer Prevost,4,9,6,3,4,3,5,4,6,Curry,Halloween,Superfan,Modest,There for the booze,Body
Ryan Ramos,4,10,8,2,1,7,7,3,3,Credit cards,Solid furniture,Player,Humorous,Closer,Body
Anna Gifford,6,10,10,1,3,4,1,2,6,Self-driving Vehicles,Depth,Superfan,Wise,Die-hard,None
Dennis Morales,5,10,9,1,8,2,3,3,1,Sneezes,Sci-Fi,Superfan,Appreciative,There for the booze,None
Tristian Supernova,7,9,7,8,5,7,8,8,5,Radiohead,Justice,Superfan,Innovative,Hardcore,Body
Philtrum Williams,3,4,8,8,2,6,3,2,5,Duct Tape,Hawaiian Pizza,Staff,Passionate,Mental coach,Soul
Crazy Horse Bassett,8,7,9,7,5,5,10,9,5,Pianos,Magic Tricks,Staff,Sage,Masseuse,Body
Jack Kuàng,4,3,8,6,7,6,9,10,5,Success,Attics,Superfan,Modest,Fair-weather,Mind
Helen Alluminium,6,8,7,5,5,5,3,5,8,Pigeons,Pencil Sharpeners,Superfan,Stoic,Full kit wanker,Soul
Bastardly Flores,6,2,6,5,2,6,7,7,5,Boogers,Dyslexia,Superfan,Passionate,Barstool,Mind
Fishery Alluminium,8,10,8,6,5,6,2,5,4,Sunflower Seeds,Pancakes,Player,Placid,Hype,Body
Catherine Suitcases,1,10,10,10,9,10,5,9,3,Spatulas,Punctuality,Player,Sage,Consistency,None
Van Clamberwobble Garcia,5,4,1,7,5,3,10,4,7,Credit cards,Poker,Superfan,Confident,Die-hard,Mind
Foster Blaine,5,5,7,7,9,4,7,10,8,Mythical Creatures,Beat Poetry,Player,Romantic,Hype,Mind
Disco Nabopolassar,2,9,9,3,3,3,4,7,2,Fast food,Horseracing,Staff,Confident,Yoga instructor,None
Rodd Portfolio,4,8,4,7,7,6,6,2,5,VR Technology,Pyramids,Superfan,Placid,Die-hard,Soul
Rebecca Bockham,8,5,4,7,7,5,9,9,8,Magpies,Eclipses,Player,Appreciative,Consistency,None
Shrimpgun Turner,5,6,6,5,5,6,9,5,5,Kangroos,Paychecks,Superfan,Humorous,Gambler,None
Mordor Sir,9,9,4,3,4,7,10,2,2,Blankets,Laser Pointers,Player,Sage,Support,Body
Plunger Envy,8,10,9,9,9,6,2,6,3,Truck Drivers,Conmen,Player,Idealistic,Consistency,Soul
Hairy Puabi,3,9,7,5,3,2,8,2,6,Vodka,Argon,Player,Romantic,Consistency,None
Plunger Ortiz,5,2,3,5,7,10,9,7,6,Hot Tubs,Marble,Player,Sage,Support,Mind
Daniel Kobayashi,5,9,5,4,5,6,6,10,7,Oranges,Lanterns,Superfan,Passionate,Corporate guest,Body
Crazy Horse Crackle,2,1,2,3,2,8,5,4,8,Parasites,Warmth,Superfan,Placid,Pessimist,Mind
Sentimental Colon,3,5,3,6,8,2,8,9,4,Bright Lights,Summer Breeze,Superfan,Focused,Optimist,Mind
Sentimental Legend,6,2,9,9,6,6,3,8,8,Plants,Public Speaking,Superfan,Confident,Pessimist,Soul
Wael Gifford,6,8,7,7,4,6,1,1,5,Cheese,Clocks,Superfan,Stoic,Barstool,Body
Houria Hideous,6,3,5,8,7,2,4,2,5,Rain,Fire,Staff,Innovative,Social media intern,Mind
Adalbert Sod,6,4,8,6,9,8,6,10,7,Fish,Facepaint,Superfan,Compassionate,Optimist,Soul
Anthony The Small,9,3,4,1,5,4,4,4,9,Feet,Nightclubs,Superfan,Focused,There for the booze,Body
Piles Martinez,8,9,4,2,4,1,9,7,4,Jeans,Turkish Markets,Superfan,Sage,There for the booze,Body
Kenneth Rivera,2,9,6,8,7,8,2,2,1,Lids,Grandfather,Superfan,Wise,There for the booze,None
Patricia Gutierrez,6,4,5,7,6,8,9,8,5,Tomato Juice,Cognac,Staff,Passionate,Sponsorship director,Mind
Adalbert Machal,6,8,8,6,5,7,9,8,5,Religion,Hair Bands,Player,Focused,General,Body
Troy Phantom,8,9,7,2,3,3,5,6,4,Swimming,Clouds,Player,Appreciative,Closer,Body
Windings Mikan,7,8,8,3,7,4,4,9,7,Earthquakes,Swimming Pools,Player,Modest,Consistency,Body
Benjamin Noddy,5,3,2,3,9,6,10,8,5,Gin,Diet Soda,Player,Innovative,Investigator,Mind
Almas Tidy,2,3,2,8,5,10,7,2,1,Fast food,Choking,Superfan,Stoic,Full kit wanker,Soul
Emmett Baby,6,7,4,7,8,5,4,8,4,Gravel,Mushrooms,Superfan,Compassionate,Full kit wanker,Soul
Tweetly Chilly,4,8,2,7,9,9,4,5,2,Stingrays,Stickers,Superfan,Humorous,Fair-weather,Soul
Listen Linda Channing,6,10,8,4,5,2,4,6,10,Cuttlery,Cars,Staff,Placid,Performance coach,Body
Matthew Brooks,5,4,8,8,9,9,5,7,4,Slippers,Boardgames,Superfan,Focused,Gambler,Soul
Pitter Patter Miller,6,5,7,8,8,7,3,1,2,Prime Numbers,Horseracing,Superfan,Focused,Gambler,None
Timothy Thundergoose,2,3,3,5,4,4,6,3,7,Toilet Paper,Shoe horns,Player,Appreciative,Hype,Mind
Cristiano Sir,4,3,5,9,8,10,2,4,1,Barbers,Butterflies,Player,Passionate,Hype,Soul
Drummer Lootman,6,4,8,7,10,10,2,3,8,Cat Hair,Grandfather,Superfan,Idealistic,Gambler,Soul
Clandestine Colon,7,10,6,5,5,4,7,8,4,Warm Weather,Huffing,Player,Idealistic,Closer,None
Melodic Newcarsmell,7,2,2,2,9,7,9,7,7,Sunflower Seeds,3rd Base,Staff,Innovative,Waterperson,Mind
James Baby,5,6,7,5,9,10,6,6,6,VR Technology,Exorcisms,Staff,Modest,Clickbaiter,Soul
gm Johnstone,9,5,10,8,10,9,6,4,4,SIlence,Hair Bands,Superfan,Passionate,Gambler,Soul
Bigbite Paquet,8,10,3,4,2,1,4,3,3,Lava Lamps,PE Teachers,Management,Appreciative,Head Coach,None
Twilight wagmi,2,4,9,8,8,10,1,1,2,Goats,Fan Mail,Superfan,Confident,Full kit wanker,Soul
Dr. Fountain,9,9,8,4,4,4,5,4,6,Milk,Clouds,Superfan,Sage,Scarf Guy,Body
Prunella Colander,3,6,3,7,9,2,7,6,7,Affairs,Brazil,Superfan,Sage,Die-hard,Mind
Eric Spoon,5,6,4,9,2,10,8,8,3,The Internet,Sandwiches,Player,Humorous,Hype,Mind
Gav Sanders,6,5,4,9,2,2,4,5,8,Gambling,Ping Pong Balls,Player,Stoic,Closer,Mind
Boomer Flores,2,7,4,3,7,2,5,6,5,Hot Dogs,Bangs,Player,Innovative,Hype,Body
Patrick Bhatt,2,8,7,7,8,4,6,6,4,Love,New Socks,Player,Humorous,Specialist,Soul
Widdershins Silverback,1,2,6,4,8,8,7,9,7,Candles,Clocks,Staff,Innovative,Sponsorship director,Mind
Azza One,6,4,10,4,5,4,9,5,4,News,Hair Bands,Player,Compassionate,Hype,Body
Axel Von Gimmefood,4,5,6,9,4,7,7,6,4,Lava Lamps,Nightclubs,Superfan,Idealistic,Pessimist,Mind
Emmett Flap,3,7,9,7,2,3,6,6,4,Irony,Birth,Superfan,Confident,Pessimist,Body
Amanda Morris,5,8,5,7,8,5,6,7,10,Showers,TSA Agents,Superfan,Romantic,There for the booze,Mind
Matthew Piledriver,3,9,7,5,7,9,5,7,2,Door Stops,The Mafia,Superfan,Compassionate,Fair-weather,None
Disco Lemonparty,8,6,4,5,5,4,3,5,7,Gin,Spicy Food,Player,Idealistic,Consistency,Soul
Jemimah Newcarsmell,8,2,7,3,8,6,7,7,4,Self-driving Vehicles,Kittens,Player,Appreciative,Hype,Soul
Cleopatra Giant Mushroom,6,5,4,4,8,2,4,10,3,Witchcraft,Facepaint,Superfan,Focused,Die-hard,Mind
Cowardly Shukla,9,9,6,7,7,4,9,10,9,Protein Powder,Gym,Superfan,Wise,There for the booze,Body
Shanice Guǎngchǎng,6,7,10,1,3,3,3,9,9,Hate mail,Pyramids,Player,Innovative,Support,Body
Rugpull Rivera,6,4,6,8,6,3,3,5,3,Contortionists,Museums,Superfan,Appreciative,Gambler,Soul
Sadio Tiger,1,7,5,6,5,10,9,8,7,Riptides,Handwriting,Superfan,Modest,There for the booze,Mind
Aisha Ortiz,8,7,3,8,10,8,8,4,2,Public Bathrooms,Handwriting,Superfan,Modest,Scarf Guy,None
So-sure Ladder,6,9,7,8,8,10,1,2,3,Irony,Racecars,Staff,Appreciative,Cook,Soul
Santa Number 27 Bus,4,8,2,4,9,5,6,7,6,Sunglasses,Cheerleaders,Superfan,Focused,Barstool,Mind
Andrew Jackson,6,7,3,3,7,7,5,5,7,Prosthetic Limbs,Beat Poetry,Player,Innovative,Support,Mind
Shirley Genius,4,7,2,2,6,5,6,10,10,Grass,Caffeine,Superfan,Compassionate,Die-hard,Mind
Cynthia Octopus,7,8,7,2,3,8,5,1,7,Santa Claus,The Void,Superfan,Innovative,Pessimist,Body
Tell-all Ginsberg,10,9,7,4,6,5,6,9,7,Groundhogs,Greeting Cards,Player,Wise,General,Body
Body Ribeye,7,5,7,3,7,9,7,1,3,Showers,Barbecue Sauce,Superfan,Romantic,Gambler,None
Fishery Cellier,10,6,5,4,4,7,2,1,2,Lava Lamps,Clocks,Superfan,Sage,Hardcore,Soul
Fingers Moonshot,4,6,3,6,2,3,9,6,7,Forks,Bad Speling,Staff,Placid,Cook,Mind
Sandra 888,5,5,7,6,7,8,9,5,5,Neighbors,Holiday Smells,Superfan,Focused,Fair-weather,Mind
Peregrine Pedigrue,7,7,3,7,4,4,10,5,2,Screeching,Warmth,Staff,Modest,Analyst,Mind
Rock Stumble,6,8,6,7,6,3,5,4,3,Ambulances,Hawaiian Pizza,Player,Focused,Investigator,Body
James Sargon,5,4,8,5,5,10,8,9,8,Blue,Racecars,Superfan,Idealistic,Full kit wanker,Mind
Tissue Bloviate,7,6,4,2,7,2,6,3,4,Tomato Juice,Meditating,Staff,Sage,Sponsorship director,Soul
Kenneth Frown,6,9,5,1,3,2,9,3,10,Moustaches,Religion,Superfan,Humorous,Fair-weather,Body
Glenda Rastafloods,8,2,1,8,7,8,6,3,2,Dreadlocks,Carpets,Management,Appreciative,Director,Soul
Sarah Mikan,8,8,6,6,4,6,5,7,4,Stingrays,Huffing,Player,Wise,Closer,Body
Delta Collywobbles,7,7,3,2,6,6,8,2,7,Homeopathy,Memes,Player,Confident,Support,Body
Frank Sanchez,6,5,5,5,5,9,8,5,8,Radiohead,Antibiotics,Staff,Romantic,Social media intern,Mind
One Hamilcar,6,2,7,8,3,7,4,4,4,Hate mail,Sister-in-Laws,Player,Innovative,Support,None
Justin Joubert,3,10,9,3,2,5,7,9,7,Styrofoam,Software Piracy,Player,Stoic,General,Body
Collywobbles Forehead-Greives,6,4,5,5,8,8,9,3,5,Milk,Confetti,Player,Passionate,General,Mind
Cornelius Baby,2,4,2,1,6,6,3,7,10,Coffee Beans,Coral Reefs,Superfan,Placid,Fair-weather,Mind
Featherskin Peterson,3,9,7,1,3,8,5,6,5,NFTs,Darts,Superfan,Confident,Corporate guest,Body
Kai Suitweasel,2,3,6,9,7,6,6,9,9,Bright Lights,Forced Entry,Superfan,Compassionate,Fair-weather,Mind
Mojo Zeus,5,3,2,5,3,7,10,9,6,Gambling,Clocks,Superfan,Romantic,Gambler,Mind
Brandon Alien,4,6,8,8,1,6,10,9,9,Tomato Juice,Music,Superfan,Confident,Gambler,Mind
Jason Bastardly,7,8,2,9,8,4,6,2,7,Caviar,Movies,Superfan,Focused,There for the booze,Soul
Slots Robinson,3,8,7,5,1,5,6,4,7,Contortionists,Haircuts,Superfan,Placid,Corporate guest,Mind
Sentimental Outstanding,9,6,6,2,4,2,8,2,8,Dinosaurs,Pilots,Player,Sage,General,Body
Sadio 808,6,1,8,4,9,8,4,5,1,Cracks,Tuna,Superfan,Innovative,Fair-weather,Soul
Ingrid Philtrum,8,9,6,7,4,2,1,9,4,Marching Bands,Halloween,Superfan,Appreciative,Die-hard,None
Patrick Fury,5,7,7,4,8,10,3,3,4,Birds,Sandwiches,Superfan,Passionate,Barstool,Soul
Vitalik Alvin,8,6,4,3,6,4,3,10,8,Radiohead,Scotland,Player,Compassionate,General,None
Shepherd Black,7,6,5,5,4,3,5,9,6,Snow,Commercialism,Superfan,Confident,Die-hard,Body
Freja Mitchell,2,7,8,3,2,2,2,8,2,Relatives,Dust,Superfan,Wise,Die-hard,Body
Benjamin Revenue,7,10,4,9,9,8,5,5,5,Mercury in Retrograde,Commercialism,Player,Humorous,Consistency,Soul
Salmonella Bajwa,5,2,7,7,7,6,4,1,4,Dreadlocks,Cat Food,Superfan,Appreciative,Die-hard,Soul
Van Clamberwobble Pluto,3,2,2,4,4,1,6,5,10,Pillow Talk,Clouds,Staff,Humorous,Zookeeper,Mind
Shanice Disco,4,5,10,10,8,6,7,8,2,Midnight,Toxoplasmosis,Player,Compassionate,General,Mind
Extractor Fan Whippersnapper,5,1,5,3,9,4,10,6,8,Cracks,Buttered Toast,Player,Appreciative,General,Mind
Cosmo Varville,5,7,6,8,4,9,3,4,6,Calories,Toy Phones,Player,Confident,Hype,Soul
Anthony Tuna,10,7,8,7,5,4,8,5,10,Champagne,Clouds,Player,Appreciative,Support,Body
Whatnot Barrere,9,6,5,6,6,2,7,9,9,Mercury in Retrograde,Cheerleaders,Superfan,Innovative,Full kit wanker,Mind
Freja Suitcases,5,3,6,8,2,6,7,9,3,Flying,Exorcisms,Superfan,Romantic,Die-hard,Mind
Jerry McGowan,1,3,4,1,1,8,8,6,9,Sandals,Parachutes,Superfan,Sage,Corporate guest,None
wagmi Cruel,1,2,2,7,3,4,3,5,2,Submarines,Exobiology,Superfan,Innovative,Hardcore,Soul
Wesley O'Callaghan,6,2,2,10,1,3,8,9,10,Groundhogs,Soap,Player,Humorous,Hype,Mind
Oysterbury Colon,3,5,7,3,4,4,4,6,1,Raincoats,Sandwiches,Player,Innovative,Closer,Body
Gary Phillips,3,6,2,4,4,9,4,8,2,Petrol,Guns,Staff,Appreciative,Zookeeper,Soul
Stephen Lootman,9,3,8,3,9,9,4,3,5,Mouse Traps,Coral Reefs,Superfan,Appreciative,Hardcore,Soul
Betty Embellishment,10,8,1,9,5,8,5,5,5,Taxes,Barbecue Sauce,Player,Romantic,Hype,Soul
Carolyn Suitcases,5,6,4,5,8,9,4,1,4,Socks,Acid,Superfan,Modest,Barstool,Soul
Katherine Heisenburg,8,5,6,9,6,5,9,7,7,Burps,Rain,Superfan,Confident,Die-hard,None
Patrick Wizard,7,8,9,4,4,5,7,7,4,Scaffolding,Grannies,Superfan,Stoic,Fair-weather,Body
Marmaduke Perez,4,4,9,9,10,6,2,5,8,Guitar Strings,Jewelery,Player,Idealistic,Support,Soul
Timothy Glasshouse,8,6,10,7,5,9,5,1,5,Bar Fights,Kittens,Staff,Idealistic,Media team,Soul
Elizabeth Caprisun,5,3,7,8,10,7,2,8,4,VHS tapes,Choking,Player,Humorous,General,Soul
Cemetery Jacaranda,9,5,5,7,7,9,1,2,5,Sitcoms,Barbecue Sauce,Superfan,Stoic,Barstool,Soul
Buddy Junior,5,6,6,6,9,9,9,3,5,Nail Salons,Burritos,Superfan,Modest,Barstool,Soul
Fingers So-sure,8,9,7,4,5,7,3,8,5,Door Stops,Acid,Staff,Compassionate,Player liaison officer,Soul
Angela Philtrum,6,7,10,8,6,9,4,5,3,Barbers,Flies,Staff,Placid,Analyst,Soul
Mark Cough,4,3,6,5,9,4,5,6,3,Marching Bands,Summer Breeze,Superfan,Placid,Full kit wanker,Mind
Susan Murphy,9,9,7,8,10,9,8,6,5,VHS tapes,Sweat,Player,Passionate,Support,Soul
Majestic Luggage,5,9,6,4,5,5,1,6,8,Passwords,Train Sets,Superfan,Passionate,There for the booze,Body
Clandestine Varville,2,5,2,9,5,3,6,7,3,Concerts,Teachers,Superfan,Stoic,Full kit wanker,Mind
Siobhan Flores,2,3,3,3,2,10,5,6,2,Warm Weather,Depth,Superfan,Confident,Pessimist,None
Marina Piles,4,6,5,7,9,8,2,2,2,Plates,Craft Beer,Staff,Placid,Social media intern,Soul
Creaky Antimatter,2,8,7,7,5,2,9,8,6,Parasites,NFTs,Player,Modest,Support,Mind
Lathan Fury,8,9,7,6,1,5,4,2,3,Paper,Bees,Staff,Focused,Columnist,Body
Carol Chavez,5,4,9,8,7,4,9,6,9,Numbers,Sci-Fi,Superfan,Modest,Barstool,Mind
Nidal Lollygag,1,2,7,3,7,1,9,7,10,Champagne,Acid,Management,Appreciative,GM,Mind
Strange Luggage,5,7,7,8,9,7,6,6,4,Plates,Cheeseburgers,Player,Innovative,Closer,Soul
One Sprinter,3,10,9,4,2,3,3,1,6,Office Environments,Wetness,Player,Humorous,General,Body
Shirley Brassard,6,9,9,2,8,2,8,2,3,Fish,Charities,Superfan,Sage,Full kit wanker,Body
Gatlin Reed,1,6,4,2,10,6,5,9,9,Hate mail,Punctuality,Superfan,Romantic,Die-hard,Mind
Chloe Lemonparty,6,5,6,8,5,4,10,8,9,Cracks,Prison breaks,Staff,Confident,Marketing manager,Mind
Jagger Hamilcar,5,3,2,6,8,2,7,8,8,Gravel,Nightclubs,Superfan,Confident,Gambler,Mind
Snow Channing,4,10,5,4,4,6,6,3,1,Kangroos,Fan Mail,Superfan,Sage,Full kit wanker,Body
Tanya Lù,3,6,7,5,2,1,6,4,5,Plastic,Graffiti,Staff,Innovative,Media team,Mind
Twilight Torres,2,2,4,2,7,8,5,5,6,Passwords,Warmth,Player,Confident,Specialist,Mind
Terrential Ruiz,3,5,4,9,8,7,5,7,5,Oranges,Sunsets,Superfan,Modest,Gambler,Soul
Unreal  Patel,9,5,7,4,8,2,10,7,5,Cheese,Grannies,Player,Confident,Support,Body
Any Lù,5,6,4,2,4,7,7,10,6,Gin,Craft Beer,Player,Appreciative,Investigator,Body
Brandon Baby,6,8,8,7,9,9,4,2,3,Warm Weather,Pancakes,Superfan,Modest,Gambler,Soul
Luqman Hellbender,9,9,5,6,2,4,4,9,6,Typos,Baloons,Player,Stoic,General,Body
Leghair Lafitte,5,7,4,3,2,3,6,9,5,Parasites,Peanut butter,Superfan,Modest,Pessimist,None
Crazy Horse Ironsi,7,2,8,6,10,4,1,5,4,Carbohydrates,Sister-in-Laws,Player,Idealistic,Closer,Soul
Azza Phillips,6,7,3,1,8,4,4,9,7,Blue,Geese,Staff,Humorous,Intern,None
Christopher Sprinter,4,6,4,8,8,9,10,8,7,Plates,Porn,Superfan,Compassionate,Full kit wanker,Mind
Ayham Cienfuegos,6,10,8,4,7,7,4,7,5,Music,Movies,Superfan,Confident,Optimist,Body
Ruth Bajwa,7,10,10,1,8,3,3,5,7,Pizza ovens,The Mafia,Player,Passionate,Closer,Body
Wael Newcarsmell,7,8,5,4,10,9,7,3,3,Bar Fights,Justice,Superfan,Wise,There for the booze,Body
Lisa Handsome,7,10,6,5,6,1,5,3,1,Boogers,Staplers,Superfan,Placid,Die-hard,Body
Elliot Tweetly,8,6,10,5,7,9,8,8,5,Anime,Porn,Superfan,Confident,Fair-weather,None
Mordor Panda,9,4,4,9,5,2,6,9,2,Clowns,Shoe horns,Superfan,Focused,Hardcore,Soul
Seymour Moore,9,4,6,8,6,5,5,7,7,News,Tuna,Superfan,Innovative,There for the booze,Soul
Stephanie Gutierrez,4,5,8,1,7,4,8,9,6,Buffets,Buffets,Staff,Appreciative,Mental coach,Mind
Shoelace Baby,7,9,8,3,2,5,9,3,4,Glass,Cheerleaders,Superfan,Innovative,Scarf Guy,Body
Spike Portfolio,9,8,10,5,4,4,5,8,4,Guitar Strings,New Socks,Management,Modest,Director,Body
Ronald Backsplash,5,7,7,10,4,6,8,9,9,NFTs,Holiday Smells,Player,Compassionate,Consistency,Mind
Ribeye Proxy,9,10,8,5,5,6,6,6,4,Email,Haircuts,Player,Romantic,Closer,Body
Cynthia Taint,6,5,1,1,5,7,10,8,6,Contortionists,Huffing,Player,Placid,Investigator,Mind
Ahma Floquet,3,1,2,9,6,9,4,9,9,Fast food,Acid,Superfan,Compassionate,There for the booze,Mind
Wolf Fontana,2,1,2,4,7,7,5,8,7,Barbers,Hot chips,Player,Confident,General,None
Conundrum Ribeye,2,8,5,8,4,7,4,2,2,Forks,Tequila,Superfan,Romantic,Hardcore,Soul
Whatnot Bumbershoot,2,9,8,6,5,3,4,7,3,Oranges,Parachutes,Player,Modest,Support,Mind
Darth Huffer,4,1,7,10,3,9,7,6,7,Midnight,Eclipses,Staff,Passionate,Performance coach,Mind
Cosmo Cocque,3,2,3,7,2,2,6,5,10,The Letter 'S',Fairies,Superfan,Stoic,Barstool,Mind
ABC Proxy,5,3,9,8,4,8,8,7,8,Pianos,Bio-diesel,Management,Confident,Assistant Coach,Mind
Pending Investigation Williams,9,9,10,3,4,7,5,5,6,Bright Lights,Mythology,Player,Innovative,General,Body
Pitter Patter Rugs,2,3,7,6,6,2,8,8,8,Credit cards,Carpets,Staff,Sage,Zookeeper,Mind
Elsa Murphy,4,7,6,8,10,6,9,2,3,Stingrays,Gray,Superfan,Confident,There for the booze,Soul
Elsa Houde,9,5,10,9,2,4,8,3,5,Spatulas,Punctuality,Superfan,Romantic,Optimist,Body
Leif Junior,9,9,10,5,6,5,9,9,5,Pasta,Hope,Superfan,Compassionate,Barstool,Body
Spiny Taint,1,5,5,8,2,8,10,3,6,Sporks,Antibiotics,Player,Modest,General,Mind
Ayham Cough,1,4,1,3,6,4,9,4,6,Scaffolding,Haircuts,Superfan,Wise,Gambler,Mind
Mordor Hughes,2,2,9,10,5,6,2,2,6,Boogers,Holiday Smells,Management,Wise,Director,Soul
